column_name,normalized_label,map_id
Cena byt vč. DPH m2,price,376
layout,layout,136
Celková podlahová pl.* m2,floor_area,146
LOFT NO.,id,294
cena-s-DPH,price,121
VELIKOST_BYTU_m²,floor_area,347
PARKOVACÍ MÍSTO m2,parking_place_number,349
TERASA_/_BALKON,terrace_area,342
budova,building,26
Cena rezervovaného sklepa (Kč) *:,none,160
STAV PRODEJE***,availability,232
Čistá plocha bytu m2,floor_area,243
PLOCHA BYTU M2*,floor_area,616
sklep (m²).,cellar_area,548
Celková podlahová pl. (m2),floor_area,43
TYP BYTU,layout,227
cena bytu* (vč. dph),price,176
PARKOVÁNÍ:,none,344
Karta bytu (m2),none,53
Celková plocha (bez terasy) (m2),floor_area,385
DISPOZICE (m2),layout,237
Celková cena s DPH:,price,365
Balkón / Terasa,exterior_area,286
pozemek,total_area,41
Typ_vlastnictví,none,629
Cena vč. DPH a IS [m²],price,563
Stav.,availability,9
Rodinný dům,id,594
Basement_storage,cellar_area,301
title (m2),id,605
cena * [m²],price,501
balkon (m²) m2,balcony_area,547
m² bytu.,floor_area,106
B/T/Z-(m²)*,balcony_area,625
Cena sklepa:,none,494
Celková podlahová pl..,floor_area,43
Užitná / Podlahová plocha [m²],floor_area,627
OBLÍBENÉ m2,none,519
Dům m2.,floor_area,418
číslo domu,id,264
B/T/L (m2),exterior_area,129
PŘEDZAHRADA [m²],garden_area,529
Výměra předzahrádky (v m2) [m²],garden_area,462
Rooms Range.,none,571
Dispozice m2,layout,3
Cenikova cena,price,511
Oblíbené.,none,163
B/L/T (M²) m2,balcony_area,239
building m2,building,604
označení.,id,125
Atrium.,none,492
Terasa / lodžie (m2),exterior_area,313
Balkón 2:,balcony_area,392
CENA KČ **,price,38
ZATRAVNĚNÁ TERASA/ TERASA (M2),terrace_area,402
výběr-k-poptávce,none,362
Celková_plocha_(užitná),floor_area2,383
Balkon/terasa m2,balcony_area,229
Označit k poptání.,none,403
Plocha příslušenství [m²],exterior_area,282
AMENITIES,none,201
typ stání,none,541
Jednotka č. m2,id,382
balkon / terasa (m2),balcony_area,47
Terasa/balkon (m2) m2,terrace_area,338
Cena rezervovaného sklepa (Kč) * [m²],none,160
název,id,214
BALKON/TERASA M²,balcony_area,460
CENA VČ. DPH.,price,355
Cena s DPH,price,155
Čistá-plocha,floor_area,513
Plocha m² *:,floor_area,34
Byt:,id,32
Podlazi cislo,floor,447
ČÍSLO JEDNOTKY,id,1
2.NP,none,570
VELIKOST BYTU m² [m²],floor_area,347
Užitná_plocha_(m2)1),floor_area2,588
Celková ceny bytu s DPH (m2),price,258
rozloha celkem,floor_area,425
Typ stání.,none,541
title,id,605
číslo jednotky [m²],id,283
Availability:,availability,303
Střešní zahrada m2,terrace_area,470
Cena-bytu-bez-příslušenství-vč.-DPH,price,496
cena celkem (m2),price,399
Zastavěná plocha v m2 (m2),none,266
Kód bytu (m2),id,490
Plocha m²:,floor_area,4
CENA VČETNĚ DPH,price,169
Terasa předzahrádka,exterior_area,584
Plocha-balkónu,balcony_area,306
lodžie [m²],balcony_area,408
Plocha (m²) [m²],floor_area,167
VÝMĚRA-PARCELY,none,539
PODLAHOVÁ PLOCHA (m2):,floor_area,312
poptat.,none,401
akční cena,price,512
CELKOVÁ_UŽITNÁ_PLOCHA,floor_area2,538
Balkon/Terasa,balcony_area,363
Výměra pozemku (m2),total_area,439
parkovaci stani,parking_place_number,410
KOLAUDACE,none,145
Počet pater [m²],none,446
cena_*,price,501
Balkon 2,balcony_area,392
užitná plocha [m²],floor_area2,430
Číslo j..,id,206
Užitná plocha* [m²],floor_area2,147
cena Kč (*) (m2),price,223
Celkova plocha vc. prislusenstvi (m2),total_area,325
Půdorys (PDF),none,31
VELIKOST BYTU m² m2,floor_area,347
Balkon m² m2,balcony_area,35
Terasa/ Balkon/ Lodžie/ Zahrádka:,exterior_area,188
TERASA / LODŽIE / ZAHRADA (M²),terrace_area,175
Sklep (m2):,cellar_area,183
parkovací stání [m²],parking_place_number,410
dostupnost *,availability,502
Galerie Pracovna (m2),none,585
SOUBOR,none,291
OZNAČIT K POPTÁNÍ,none,403
cena (vč. DPH) [m²],price,590
"AREA, M²",floor_area,138
Cena (Kč) [m²],price,59
OZNAČENÍ [m²],id,341
Plocha-[m²],floor_area,327
Premium / Smart,none,587
Podlaží číslo m2,floor,447
B/l/t (m²) 1),terrace_area,331
cena od (kč),price,144
Užitná plocha v m2:,floor_area2,265
cena s DPH m2,price,121
Podlahova plocha brutto [m²],floor_area,57
rok dokončení,none,473
Celková-plocha,floor_area,152
celková plocha m²,total_area,37
celková plocha (užitná),floor_area2,383
Mám-Zájem,none,542
Podlahová plocha* m2.,floor_area,228
m² zimní zahrady.,garden_area,108
Terasa v m2:,terrace_area,477
Loggia / balcony (m2),balcony_area,299
ČÍSLO BYTU [m²],id,311
garaz,parking_place_number,549
area,floor_area,572
Balkon/terasa [m²] m2,exterior_area,58
Parkovací_místo,none,204
VÝMĚRA PARCELY,none,539
Building m2,building,194
Plocha příslušenství.,exterior_area,282
Velikost pozemku m2,total_area,320
Cena s DPH 12 % m2,price,582
Plocha svislých konstrukcí:,none,384
Cena vč. DPH * [m²],price,467
Jednotka-č.,id,382
Zahrada (m²) [m²],garden_area,250
Cena Kc,price,285
BYT (m2),id,273
podrobnosti.,none,412
"Užitná_plocha,_m²",floor_area2,245
Cena garážového stání:,none,495
terasa/balkon předzahrádka (m2).,exterior_area,449
BALKÓN/ TERASA (m²) (m2),exterior_area,516
PODLAŽÍ,floor,2
