column_name,normalized_label,map_id
cena byt vc dph m2,price,376
layout,layout,136
celkova podlahova pl m2,floor_area,146
loft no,id,294
cena s dph,price,121
velikost bytu m2,floor_area,347
parkovaci misto m2,parking_place_number,349
terasa balkon,terrace_area,342
budova,building,26
cena rezervovaneho sklepa kc,none,160
stav prodeje,availability,232
cista plocha bytu m2,floor_area,243
plocha bytu m2,floor_area,616
sklep m2,cellar_area,548
celkova podlahova pl m2,floor_area,43
typ bytu,layout,227
cena bytu vc dph,price,176
parkovani,none,344
karta bytu m2,none,53
celkova plocha bez terasy m2,floor_area,385
dispozice m2,layout,237
celkova cena s dph,price,365
balkon terasa,exterior_area,286
pozemek,total_area,41
typ vlastnictvi,none,629
cena vc dph a is m2,price,563
stav,availability,9
rodinny dum,id,594
basement storage,cellar_area,301
title m2,id,605
cena m2,price,501
balkon m2 m2,balcony_area,547
m2 bytu,floor_area,106
b t z m2,balcony_area,625
cena sklepa,none,494
celkova podlahova pl,floor_area,43
uzitna podlahova plocha m2,floor_area,627
oblibene m2,none,519
dum m2,floor_area,418
cislo domu,id,264
b t l m2,exterior_area,129
predzahrada m2,garden_area,529
vymera predzahradky v m2 m2,garden_area,462
rooms range,none,571
dispozice m2,layout,3
cenikova cena,price,511
oblibene,none,163
b l t m2 m2,balcony_area,239
building m2,building,604
oznaceni,id,125
atrium,none,492
terasa lodzie m2,exterior_area,313
balkon 2,balcony_area,392
cena kc,price,38
zatravnena terasa terasa m2,terrace_area,402
vyber k poptavce,none,362
celkova plocha uzitna,floor_area2,383
balkon terasa m2,balcony_area,229
oznacit k poptani,none,403
plocha prislusenstvi m2,exterior_area,282
amenities,none,201
typ stani,none,541
jednotka c m2,id,382
balkon terasa m2,balcony_area,47
terasa balkon m2 m2,terrace_area,338
cena rezervovaneho sklepa kc m2,none,160
nazev,id,214
balkon terasa m2,balcony_area,460
cena vc dph,price,355
cena s dph,price,155
cista plocha,floor_area,513
plocha m2,floor_area,34
byt,id,32
podlazi cislo,floor,447
cislo jednotky,id,1
2 np,none,570
velikost bytu m2 m2,floor_area,347
uzitna plocha m2 1,floor_area2,588
celkova ceny bytu s dph m2,price,258
rozloha celkem,floor_area,425
typ stani,none,541
title,id,605
cislo jednotky m2,id,283
availability,availability,303
stresni zahrada m2,terrace_area,470
cena bytu bez prislusenstvi vc dph,price,496
cena celkem m2,price,399
zastavena plocha v m2 m2,none,266
kod bytu m2,id,490
plocha m2,floor_area,4
cena vcetne dph,price,169
terasa predzahradka,exterior_area,584
plocha balkonu,balcony_area,306
lodzie m2,balcony_area,408
plocha m2 m2,floor_area,167
vymera parcely,none,539
podlahova plocha m2,floor_area,312
poptat,none,401
akcni cena,price,512
celkova uzitna plocha,floor_area2,538
balkon terasa,balcony_area,363
vymera pozemku m2,total_area,439
parkovaci stani,parking_place_number,410
kolaudace,none,145
pocet pater m2,none,446
cena,price,501
balkon 2,balcony_area,392
uzitna plocha m2,floor_area2,430
cislo j,id,206
uzitna plocha m2,floor_area2,147
cena kc m2,price,223
celkova plocha vc prislusenstvi m2,total_area,325
pudorys pdf,none,31
velikost bytu m2 m2,floor_area,347
balkon m2 m2,balcony_area,35
terasa balkon lodzie zahradka,exterior_area,188
terasa lodzie zahrada m2,terrace_area,175
sklep m2,cellar_area,183
parkovaci stani m2,parking_place_number,410
dostupnost,availability,502
galerie pracovna m2,none,585
soubor,none,291
oznacit k poptani,none,403
cena vc dph m2,price,590
area m2,floor_area,138
cena kc m2,price,59
oznaceni m2,id,341
plocha m2,floor_area,327
premium smart,none,587
podlazi cislo m2,floor,447
b l t m2 1,terrace_area,331
cena od kc,price,144
uzitna plocha v m2,floor_area2,265
cena s dph m2,price,121
podlahova plocha brutto m2,floor_area,57
rok dokonceni,none,473
celkova plocha,floor_area,152
celkova plocha m2,total_area,37
celkova plocha uzitna,floor_area2,383
mam zajem,none,542
podlahova plocha m2,floor_area,228
m2 zimni zahrady,garden_area,108
terasa v m2,terrace_area,477
loggia balcony m2,balcony_area,299
cislo bytu m2,id,311
garaz,parking_place_number,549
area,floor_area,572
balkon terasa m2 m2,exterior_area,58
parkovaci misto,none,204
vymera parcely,none,539
building m2,building,194
plocha prislusenstvi,exterior_area,282
velikost pozemku m2,total_area,320
cena s dph 12 m2,price,582
plocha svislych konstrukci,none,384
cena vc dph m2,price,467
jednotka c,id,382
zahrada m2 m2,garden_area,250
cena kc,price,285
byt m2,id,273
podrobnosti,none,412
uzitna plocha m2,floor_area2,245
cena garazoveho stani,none,495
terasa balkon predzahradka m2,exterior_area,449
balkon terasa m2 m2,exterior_area,516
podlazi,floor,2
plocha predzahradky,garden_area,595
balkon terasa m2,exterior_area,377
terasa lodzie,exterior_area,280
parkovaci stani,parking_place_number,410
c jednotky m2,id,535
vizualizace domu m2,none,441
cenikova cena,price,511
vyber k poptavce m2,none,362
parkovaci misto m2,parking_place_number,349
zatravnena terasa terasa m2,terrace_area,402
cena s dph kc m2,price,518
cislo bytu,id,10
loft no,id,294
dokumentace,none,428
cena od,price,459
celkova plocha m2,total_area,340
cena celkem vc dph kc,price,253
zakladni cena,price,487
lodzie m2,balcony_area,408
patro,floor,503
dostupnost m2,availability,19
cena jednotky kc,price,159
podlahova plocha brutto m2,floor_area,57
vymera celkem v m2 m2,total_area,464
price,price,304
lodzie terasa,balcony_area,427
c kn,none,234
nadstandardni provedeni,none,468
terasa lodzie zahrada m2 m2,terrace_area,175
oblibene,none,124
cena vc dph,price,590
venkovni prostory,exterior_area,628
cena kc m2,price,498
storage box m2,none,278
plocha bytu m2,floor_area,622
plocha1,floor_area,443
uzitna podlahova plocha,floor_area,627
vymera,floor_area,46
zahradka,garden_area,388
1 np,none,569
cena celkem vc dph,price,45
odh najem m2,none,557
balkon terasa predzahradka,exterior_area,358
rodinny dum,id,594
floor area m2,floor_area,298
aktualni stav m2,availability,263
predzahrada m2,garden_area,529
plocha m2 m2,floor_area,327
detail,none,40
velikost,floor_area,424
cena rezervovane garaze kc,none,161
cena vc dph1,price,506
plocha bytu m2,floor_area,622
balkon lodzie terasa predzahradka m2,balcony_area,272
cena s dph 12,price,582
balcony loggia terrace,exterior_area,455
celkova podlahova pl,floor_area,146
balkon terasa m2 m2,balcony_area,460
transakce m2,none,398
parkovaci stani,none,15
lodzie m2,balcony_area,50
celkova cena,price,596
stav,availability,9
balkon lodzie terasa m2,exterior_area,164
loft no m2,id,294
sklep sklepni koje m2,cellar_area,614
podlahova plocha m2,floor_area,312
byt m2,id,32
parkovani zdarma,none,527
vymera bytu,floor_area,150
do katalogu m2,none,400
patro m2,floor,61
lodzie terasa predzahradka,balcony_area,586
balkon predzahradka terasa m2,garden_area,168
balkon terasa m2,balcony_area,229
stav pouze volne,availability,394
stav inzerce,availability,556
cena komplet byt lodzie terasa sklep garazove stani m2,price,318
zahrada m2 m2,garden_area,182
c bytu m2,id,413
terasa 1 np m2,terrace_area,367
cena za byt s dph bez prislusenstvi,price,191
prisl m2,exterior_area,617
dostupnost m2,availability,19
byt cislo,id,225
sklep sklepni koje m2,cellar_area,614
dostupnost,availability,561
front garden,garden_area,197
cena vc dph,price,590
